node1,node2
c1_1,c1_2
c1_2,c1_3
c1_3,c1_4
c1_4,c1_5
c1_5,c1_6
c1_6,c1_7
c1_7,c1_8

c2_1,c2_2
c2_2,c2_3
c2_3,c2_4
c2_4,c2_5
c2_5,c2_6
c2_6,c2_7
c2_7,c2_8

c3_1,c3_2
c3_2,c3_3
c3_3,c3_4
c3_4,c3_5
c3_5,c3_6
c3_6,c3_7
c3_7,c3_8

c4_1,c4_2
c4_2,c4_3
c4_3,c4_4

c5_1,c5_2
c5_2,c5_3
c5_3,c5_4
c5_4,c5_5
c5_5,c5_6
c5_6,c5_7
c5_7,c5_8

c1_1,c2_1
c2_1,c3_1
c3_1,c5_1

c1_2,c2_2
c2_2,c3_2
c3_2,c5_2

c1_3,c2_3
c2_3,c3_3
c3_3,c5_3

c1_4,c2_4
c2_4,c3_4
c3_4,c4_1
c4_1,c5_4

c1_5,c2_5
c2_5,c3_5
c3_5,c4_2
c4_2,c5_5

c1_6,c2_6
c2_6,c3_6
c3_6,c4_3
c4_3,c5_6

c1_7,c2_7
c2_7,c3_7
c3_7,c4_4
c4_4,c5_7

c1_8,c2_8
c2_8,c3_8
c3_8,c5_8












