node1,node2,distance
c1_1,c1_2,18.708286933869708
c1_2,c1_3,18.841443681416774
c1_3,c1_4,19.748417658131498
c1_4,c1_5,23.2379000772445
c1_5,c1_6,17.029386365926403
c1_6,c1_7,16.431676725154983
c1_7,c1_8,24.08318915758459
c2_1,c2_2,18.708286933869708
c2_2,c2_3,18.841443681416774
c2_3,c2_4,19.748417658131498
c2_4,c2_5,23.2379000772445
c2_5,c2_6,17.029386365926403
c2_6,c2_7,16.431676725154983
c2_7,c2_8,24.08318915758459
c3_1,c3_2,18.708286933869708
c3_2,c3_3,18.841443681416774
c3_3,c3_4,19.748417658131498
c3_4,c3_5,23.2379000772445
c3_5,c3_6,17.029386365926403
c3_6,c3_7,16.431676725154983
c3_7,c3_8,24.08318915758459
c4_1,c4_2,23.130067012440755
c4_2,c4_3,16.881943016134134
c4_3,c4_4,16.583123951777
c5_1,c5_2,18.708286933869708
c5_2,c5_3,18.841443681416774
c5_3,c5_4,19.748417658131498
c5_4,c5_5,23.2379000772445
c5_5,c5_6,17.029386365926403
c5_6,c5_7,16.431676725154983
c5_7,c5_8,24.08318915758459
c1_1,c2_1,27.92848008753788
c2_1,c3_1,28.91366458960192
c3_1,c5_1,28.0
c1_2,c2_2,27.92848008753788
c2_2,c3_2,28.91366458960192
c3_2,c5_2,28.0
c1_3,c2_3,27.92848008753788
c2_3,c3_3,28.91366458960192
c3_3,c5_3,28.0
c1_4,c2_4,27.92848008753788
c2_4,c3_4,28.91366458960192
c3_4,c4_1,19.595917942265423
c4_1,c5_4,20.493901531919196
c1_5,c2_5,27.92848008753788
c2_5,c3_5,28.91366458960192
c3_5,c4_2,19.467922333931785
c4_2,c5_5,20.37154878746336
c1_6,c2_6,27.92848008753788
c2_6,c3_6,28.91366458960192
c3_6,c4_3,19.339079605813716
c4_3,c5_6,20.248456731316587
c1_7,c2_7,27.92848008753788
c2_7,c3_7,28.91366458960192
c3_7,c4_4,19.467922333931785
c4_4,c5_7,20.37154878746336
c1_8,c2_8,27.92848008753788
c2_8,c3_8,28.91366458960192
c3_8,c5_8,28.0
